ID,PlayerName,RoundsPlayed,Rating,AverageCombatScore,KillsToDeaths,KillAssistsPercentage,AverageDamagePerRound,KillPerRound,AssistsPerRound,FirstKillsPerRound,FirstDeathPerRound,HeadShotPercentage,ClutchSuccessRate,MaxKillsInAMap,Kills,Deaths,Assists,FirstKills,FirstDeaths
383,vinessFPT,230,1.01,202.6,1.00,70%,135.7,0.72,0.33,0.10,0.10,25%,9%,24,166,166,75,24,24
384,GuhRVNHERO,426,1.01,174.4,0.94,71%,112.7,0.60,0.36,0.08,0.09,25%,20%,19,254,270,155,35,39
385,Shak0wColo,376,1.01,203.3,1.05,73%,131.1,0.74,0.33,0.08,0.07,27%,11%,38,278,264,124,31,27
386,SugarZ3roZETA,241,1.01,195.8,1.00,75%,120.3,0.69,0.42,0.06,0.07,33%,14%,24,166,166,102,14,17
387,SnowiOF,300,1.01,185.6,1.01,71%,125.2,0.67,0.34,0.06,0.06,28%,18%,26,201,199,102,17,17
388,ZoestolSAD,268,1.01,175.2,0.95,76%,110.8,0.61,0.40,0.05,0.09,22%,13%,17,163,171,108,13,23
389,lovers rock,513,1.01,223.3,1.04,71%,147.1,0.78,0.17,0.17,0.14,22%,21%,32,400,385,86,85,70
390,sevenTSM,236,1.01,204.5,1.01,75%,132.6,0.70,0.40,0.08,0.08,24%,19%,21,166,165,95,18,20
391,lurzy0y0GAL,299,1.01,177.5,1.02,71%,120.5,0.65,0.28,0.07,0.07,31%,19%,22,193,189,84,20,20
392,sheydosKOI,239,1.01,171.8,1.07,75%,113.1,0.64,0.14,0.05,0.05,28%,12%,20,153,143,34,13,13
393,W1nnerGFN,303,1.01,209.7,1.04,69%,140.7,0.74,0.17,0.12,0.13,29%,23%,28,223,214,51,36,38
394,ezkxyz,362,1.01,234.5,1.03,67%,150.6,0.79,0.24,0.12,0.13,18%,11%,26,286,277,88,45,46
395,ZellsisSEN,700,1.01,184.2,0.95,72%,122.1,0.62,0.34,0.06,0.08,18%,17%,23,436,461,240,42,57
396,NidxvilcoMDK,278,1.01,181.1,1.02,73%,117.9,0.67,0.30,0.08,0.08,27%,28%,22,185,181,84,23,22
397,ExiTTwis,521,1.01,219.9,1.06,70%,144.1,0.78,0.21,0.12,0.12,25%,10%,33,407,384,107,61,61
398,cauanzinLOUD,534,1.01,207.2,1.01,74%,132.9,0.72,0.29,0.10,0.09,26%,12%,22,387,385,155,54,50
399,XXiFQOR,201,1.01,176.6,1.08,73%,123.9,0.67,0.25,0.05,0.06,26%,8%,20,134,124,50,11,12
400,mal,258,1.01,216.3,1.09,67%,145.1,0.76,0.14,0.07,0.06,30%,14%,23,197,181,35,17,15
401,BiggieCheeseAIC,447,1.01,197.6,1.00,69%,134.0,0.68,0.28,0.08,0.10,29%,19%,22,306,307,127,34,46
402,rezqG2.G,419,1.01,224.2,1.04,69%,147.6,0.76,0.22,0.16,0.16,24%,19%,21,320,308,93,68,67
403,MarvedNRG,219,1.01,200.0,1.03,68%,132.0,0.69,0.26,0.09,0.11,29%,26%,21,152,147,57,19,25
404,NaturEEG,280,1.01,199.7,0.98,69%,132.5,0.69,0.37,0.05,0.06,32%,12%,24,192,195,104,15,18
405,ZyppanNAVI,227,1.01,224.2,1.02,75%,149.0,0.76,0.26,0.17,0.13,26%,29%,20,172,169,60,38,30
406,texLEV,230,1.00,176.9,1.01,75%,116.0,0.61,0.19,0.13,0.09,35%,,22,140,139,43,31,21
407,JessieVashTS,338,1.00,193.3,1.01,72%,129.5,0.68,0.33,0.07,0.06,28%,14%,26,230,228,113,23,20
408,richzinLGCY,419,1.00,184.8,0.97,72%,127.1,0.63,0.27,0.07,0.08,30%,14%,19,264,272,113,30,33
409,Dizzy,205,1.00,204.0,0.99,69%,134.9,0.71,0.29,0.07,0.12,29%,25%,19,146,147,60,15,24
410,JayHDSG,248,1.00,191.2,0.90,73%,122.4,0.64,0.44,0.04,0.09,24%,12%,22,159,177,109,11,22
411,MiloooRLF,204,1.00,195.0,0.99,72%,131.6,0.68,0.30,0.06,0.11,30%,11%,18,139,140,61,13,23
412,YamzzIFL.GC,277,1.00,180.4,1.03,73%,121.0,0.66,0.37,0.08,0.07,34%,16%,21,182,177,103,22,20
413,xiTshaDIA,290,1.00,207.4,1.00,72%,132.0,0.73,0.30,0.08,0.11,29%,21%,23,212,212,86,24,33
414,SyouTaFL,400,1.00,229.2,1.06,67%,152.8,0.81,0.17,0.17,0.20,26%,31%,30,323,305,66,66,79
415,KanpekiTWT,260,1.00,202.9,1.07,72%,137.1,0.72,0.34,0.08,0.10,27%,19%,22,187,175,89,20,26
416,GangPinRC,253,1.00,179.5,0.93,72%,120.5,0.60,0.37,0.05,0.06,29%,11%,21,153,165,94,13,14
417,NeloKC.GC,364,1.00,208.3,1.03,74%,134.3,0.73,0.20,0.11,0.09,28%,11%,34,266,258,72,41,34
418,AutumnFPX,206,1.00,219.1,1.06,69%,154.5,0.77,0.21,0.22,0.08,28%,33%,25,158,149,43,19,7
419,ZmjjKKEDG,349,1.00,262.5,1.20,69%,164.3,0.91,0.24,0.19,0.11,25%,14%,30,318,265,85,29,17
420,tdawggQOR,201,1.00,203.7,0.98,71%,136.1,0.70,0.37,0.10,0.11,20%,13%,25,141,144,75,21,22
421,biazikKRÜ.B,211,1.00,196.8,1.00,76%,127.9,0.69,0.36,0.09,0.08,24%,14%,26,146,146,75,19,17
422,exemptRNP,243,1.00,172.3,0.93,73%,108.9,0.62,0.42,0.03,0.02,33%,15%,19,150,161,103,7,6
423,VYXFCN,336,1.00,183.1,0.89,71%,119.3,0.60,0.45,0.05,0.08,21%,4%,22,203,229,151,18,27
424,ReverieKZ,210,1.00,195.3,0.98,72%,129.6,0.69,0.37,0.08,0.04,26%,9%,21,145,148,77,17,8
425,nitr0M80,216,1.00,181.9,0.93,71%,119.0,0.62,0.25,0.09,0.09,21%,16%,20,134,144,55,19,20
426,JerkWU,324,1.00,190.6,1.05,70%,128.6,0.69,0.21,0.07,0.06,19%,18%,25,222,212,67,23,19
